WALIS Other chronology ID,Is this datapoint public?,Short name,Dating technique,Description,Upper age (ka),Lower age (ka),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Reference(s),Record created by,Record updated by,Last Update
63,1,CRN_SA09-212,Cosmogenic nuclides,10Be dating of clasts that were deposited on top of the respective wave-cut platform,137.0,109.0,Equal to,MIS 5e,,"Saillard et al., 2009
 Freisleben et al., 2021",Roland Freisleben,,2020-09-18 11:58:37
64,1,SI05-169,Tephrochronology / morphostratigraphy,"Tephrochronology on ashes, morphostratigraphy",,,Equal to,MIS 5,,"Silva, 2005
 Freisleben et al., 2021",Roland Freisleben,,2020-09-21 16:03:16
65,1,RA89-172-002,ESR and U/Th,"ESR and U/Th on shells (at Punta Jorge, SW Mejillones)",,,Equal to,MIS 5,,"Radtke, 1989
 Freisleben et al., 2021",Roland Freisleben,,2020-09-22 15:49:11
66,1,ManLob - PE06-1512,Morphostratigraphy,morphostratigraphically attributed to MIS 5e (Tablazo Lobitos),,,Equal to,MIS 5e,"Terrace elevation: 31 m
Latitude: -4.101667
Longitude: -81.049708","Machare and Ortlieb, 1994
 Pedoja et al., 2006b
 Freisleben et al., 2021",Roland Freisleben,Roland Freisleben,2020-09-24 08:23:50
67,1,Paita - PE06-1512,Morphostratigraphy,morphostratigraphically attributed to MIS 5e (at Paita Peninsula),,,Equal to,MIS 5e,"Terrace elevation: 25 m
Latitude: -5.026483
Longitude: -81.057378","Machare and Ortlieb, 1994
 Pedoja et al., 2006b
 Freisleben et al., 2021",Roland Freisleben,Roland Freisleben,2020-09-24 08:23:04
68,1,Talara - PE06-1512,Morphostratigraphy,morphostratigraphically attributed to MIS 5e (below Talara Tablazo),,,Equal to,MIS 5e,"Terrace elevation: 25 m
Latitude: -4.56105
Longitude: -81.276106","Machare and Ortlieb, 1994
 Pedoja et al., 2006b
 Freisleben et al., 2021",Roland Freisleben,,2020-09-24 08:21:56
69,1,Cancas - PE06-1512,Morphostratigraphy,morphostratigraphically attributed to MIS 5e (near Cancas),,,Equal to,MIS 5e,"Terrace elevation: 30 m
Latitude: -3.719261
Longitude:  -80.752014","Machare and Ortlieb, 1994
 Pedoja et al., 2006b
 Freisleben et al., 2021",Roland Freisleben,,2020-09-24 08:33:21
70,1,CRN_SA08-1533,Cosmogenic nuclides,10Be cosmogenic nuclide dating in Chala Bay,0.0,0.0,Equal to,MIS 5e,,"Goy et al., 1992
 Saillard, 2008
 Freisleben et al., 2021",Roland Freisleben,Roland Freisleben,2020-09-24 09:52:59
71,1,CRN_SA11-217,Cosmogenic nuclides,10Be cosmogenic nuclide dating in the San Juan de Marcona area,,,Equal to,MIS 5e,,"Ortlieb and Machare, 1990
 Saillard et al., 2011
 Freisleben et al., 2021",Roland Freisleben,,2020-09-24 09:57:51
72,1,Ge 92,Radiocarbon,"A coral sample taken from the fossil reef deposits of this

terrace yielded radiocarbon ages around 30,000 years B.P.

But these values represent only minimum ages",0.0,0.0,Older than,MIS 1,,"Geister,  1992 
 Rubio-Sandoval et al., 2021",Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2021-03-22 22:47:03
